pid,Amoeba,Bacteriastrum,Chaetoceros,Ciliophora,Copepod_nauplii,Cryptophyta,Cylindrotheca,Dictyocha,Dinophyceae,Dinophyceae_morphotype3,Eutintinnus,Gonyaulax,Guinardia_striata,Gyrodinium,Katodinium_or_Torodinium,Laboea_strobila,Leptocylindrus_mediterraneus,Oxytoxum,Phaeocystis,Pleuronema,Pronoctiluca,Proterythropsis,Protoperidinium,Pseliodinium,Pseudo-nitzschia,Rhizosolenia,Strombidium_inclinatum,Strombidium_morphotype1,Syracosphaera_pulchra,Thalassionema,Thalassiosira,Tiarina_fusus,Tripos,Tripos_furca,Tripos_fusus,Tripos_lineatus,Warnowia,bead,bubble,coccolithophorid,colony,detritus,detritus_theca_fragment,detritus_transparent,fecal_pellet,fiber,nanoplankton_mix,pennate,seta
D20210502T114248_IFCB102,0,0,0,0,0,8,0,0,22,3,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,776,0,1,0,79,0,3,0,8,832,72,1
D20210502T140409_IFCB115,0,0,1,0,0,19,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,214,2,1,0,40,0,6,0,3,831,57,0
D20210502T140508_IFCB102,1,0,0,0,0,8,0,0,25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,127,0,0,0,51,0,5,0,7,1025,53,0
D20210502T142310_IFCB115,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,7,2,6,32,0,3,0,1,1776,4,0
D20210502T142409_IFCB102,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,1,1,51,0,6,0,5,2620,90,0
D20210502T143328_IFCB115,0,0,0,1,0,0,0,0,1,17,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,5,1,0,21,0,1,0,0,1918,1,0
D20210502T143421_IFCB102,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,20,0,3,0,2,2673,0,0
D20210503T080930_IFCB115,6,51,376,23,0,31,18,1,83,16,0,0,18,3,4,1,7,19,7,0,0,0,0,0,17,25,0,1,4,21,17,1,0,0,1,0,5,338,91,24,3,1025,2,78,3,60,706,104,2
D20210503T081914_IFCB102,12,77,489,32,0,231,13,0,179,197,0,1,20,10,14,1,3,4,24,0,0,1,1,1,8,23,0,6,3,7,50,0,0,0,0,0,7,59,0,28,26,854,1,51,3,153,3116,154,9
D20210503T171928_IFCB115,0,0,18,32,0,8,3,15,28,1,0,0,11,0,1,0,11,0,0,0,0,0,0,0,38,46,0,0,5,9,13,0,1,0,0,0,0,260,34,17,1,3337,0,148,36,13,429,54,1
D20210504T111924_IFCB102,3,0,4,11,0,57,1,0,81,391,0,0,3,1,16,1,2,0,4,0,0,1,2,0,17,16,0,0,0,1,9,0,0,7,0,1,1,40,0,21,2,169,0,2,1,20,3093,50,3
D20210504T114345_IFCB102,4,0,5,9,1,68,0,0,76,367,0,0,0,1,18,2,0,1,3,0,0,1,0,0,15,11,0,0,0,0,7,0,0,4,0,0,1,20,0,27,2,225,0,4,2,11,4096,59,0
D20210504T120806_IFCB102,1,0,1,6,1,65,1,0,45,210,0,0,0,1,9,4,0,0,2,0,0,0,1,0,6,1,0,1,0,0,5,0,0,0,0,0,0,17,0,24,2,167,0,1,0,19,5446,60,2
D20210504T123227_IFCB102,4,0,2,8,0,67,0,0,46,250,0,0,1,2,21,0,0,0,5,0,0,0,1,0,3,2,0,0,0,0,8,0,0,4,0,0,0,7,0,26,1,105,0,0,0,6,6041,64,1
D20210504T125023_IFCB115,6,0,0,13,0,28,1,0,100,5,0,1,1,3,12,2,1,0,1,0,0,0,0,0,11,3,0,0,0,0,10,1,0,1,0,1,1,46,54,25,1,414,1,25,4,4,2421,68,0
D20210504T125648_IFCB102,10,0,2,11,0,62,0,0,65,228,0,0,0,2,18,5,0,0,3,0,0,0,1,0,2,5,0,0,0,0,5,0,0,1,0,0,1,9,0,31,1,192,0,0,2,19,6205,49,1
D20210504T132109_IFCB102,5,1,8,9,1,55,0,0,34,191,0,1,0,0,19,0,2,0,1,0,0,0,0,0,6,1,0,0,1,0,8,0,0,2,0,0,0,10,0,22,3,300,0,3,4,34,5796,31,0
D20210504T134530_IFCB102,4,0,2,6,0,43,0,0,33,205,0,0,2,1,18,6,0,0,0,0,0,0,1,0,3,2,0,0,0,0,3,0,0,0,0,0,0,4,0,21,1,129,0,0,1,10,5991,44,1
D20210504T140951_IFCB102,6,0,3,5,0,35,0,0,47,231,0,0,0,3,8,3,0,0,2,0,0,0,0,0,5,7,0,0,0,0,12,0,0,0,0,0,0,5,0,19,0,103,0,0,1,4,6172,38,1
D20210504T143412_IFCB102,2,1,1,4,0,42,0,0,54,230,0,0,2,2,21,3,0,0,0,0,0,0,0,0,7,5,0,2,0,0,11,0,0,1,0,0,0,4,0,14,2,110,0,0,0,7,6258,43,0
D20210504T145833_IFCB102,0,1,0,2,0,15,0,0,13,46,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,19,0,0,0,4,1507,12,0
D20210504T171837_IFCB115,6,0,4,12,0,22,0,0,80,7,0,0,0,1,4,1,0,1,0,0,0,0,0,0,7,2,0,1,0,0,15,0,0,4,0,0,1,38,12,25,0,262,1,45,0,8,2327,59,0
D20210504T173403_IFCB102,4,0,0,3,0,72,0,0,11,108,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,12,3,36,0,0,2,38,3564,16,0
D20210504T174259_IFCB115,3,0,3,13,0,28,0,0,71,12,0,0,0,1,1,0,0,1,0,0,0,0,1,0,3,1,0,0,1,0,4,0,0,0,0,0,0,38,8,31,0,271,0,30,2,15,2315,54,3
