k-epsilon,ePBL,CVmix,datetime
-85.5,-86.5,-71.5,10-May-2021 05:00:00
-86.5,-87.5,-71.5,10-May-2021 05:30:00
-86.5,-87.5,-71.5,10-May-2021 06:00:00
-86.5,-87.5,-71.5,10-May-2021 06:30:00
-86.5,-88.5,-71.5,10-May-2021 07:00:00
-86.5,-88.5,-71.5,10-May-2021 07:30:00
-87.5,-88.5,-72.5,10-May-2021 08:00:00
-87.5,-89.5,-72.5,10-May-2021 08:30:00
-87.5,-89.5,-72.5,10-May-2021 09:00:00
-87.5,-88.5,-72.5,10-May-2021 09:30:00
-87.5,-88.5,-72.5,10-May-2021 10:00:00
-87.5,-88.5,-72.5,10-May-2021 10:30:00
-87.5,-87.5,-72.5,10-May-2021 11:00:00
-87.5,-86.5,-72.5,10-May-2021 11:30:00
-87.5,-86.5,-72.5,10-May-2021 12:00:00
-87.5,-85.5,-72.5,10-May-2021 12:30:00
-87.5,-85.5,-72.5,10-May-2021 13:00:00
-87.5,-84.5,-72.5,10-May-2021 13:30:00
-87.5,-84.5,-72.5,10-May-2021 14:00:00
-87.5,-83.5,-72.5,10-May-2021 14:30:00
-87.5,-83.5,-72.5,10-May-2021 15:00:00
-88.5,-83.5,-72.5,10-May-2021 15:30:00
-88.5,-84.5,-72.5,10-May-2021 16:00:00
-88.5,-84.5,-71.5,10-May-2021 16:30:00
-88.5,-85.5,-68.5,10-May-2021 17:00:00
-88.5,-86.5,-67.5,10-May-2021 17:30:00
-88.5,-87.5,-67.5,10-May-2021 18:00:00
-87.5,-89.5,-68.5,10-May-2021 18:30:00
-87.5,-91.5,-69.5,10-May-2021 19:00:00
-87.5,-93.5,-72.5,10-May-2021 19:30:00
-87.5,-95.5,-76.5,10-May-2021 20:00:00
-88.5,-97.5,-80.5,10-May-2021 20:30:00
-88.5,-98.5,-84.5,10-May-2021 21:00:00
-89.5,-100.5,-88.5,10-May-2021 21:30:00
-90.5,-101.5,-91.5,10-May-2021 22:00:00
-91.5,-102.5,-93.5,10-May-2021 22:30:00
-92.5,-102.5,-96.5,10-May-2021 23:00:00
-93.5,-103.5,-97.5,10-May-2021 23:30:00
-94.5,-104.5,-99.5,11-May-2021 00:00:00
-94.5,-105.5,-100.5,11-May-2021 00:30:00
-95.5,-105.5,-101.5,11-May-2021 01:00:00
-96.5,-106.5,-101.5,11-May-2021 01:30:00
-96.5,-107.5,-102.5,11-May-2021 02:00:00
-97.5,-107.5,-102.5,11-May-2021 02:30:00
-97.5,-108.5,-102.5,11-May-2021 03:00:00
-97.5,-108.5,-102.5,11-May-2021 03:30:00
-98.5,-108.5,-102.5,11-May-2021 04:00:00
-98.5,-109.5,-102.5,11-May-2021 04:30:00
-98.5,-109.5,-102.5,11-May-2021 05:00:00
-99.5,-109.5,-102.5,11-May-2021 05:30:00
-99.5,-109.5,-102.5,11-May-2021 06:00:00
-99.5,-109.5,-102.5,11-May-2021 06:30:00
-99.5,-109.5,-102.5,11-May-2021 07:00:00
-99.5,-109.5,-102.5,11-May-2021 07:30:00
-98.5,-109.5,-101.5,11-May-2021 08:00:00
-98.5,-108.5,-101.5,11-May-2021 08:30:00
-97.5,-107.5,-101.5,11-May-2021 09:00:00
-97.5,-106.5,-100.5,11-May-2021 09:30:00
-96.5,-105.5,-99.5,11-May-2021 10:00:00
-95.5,-104.5,-97.5,11-May-2021 10:30:00
-94.5,-102.5,-95.5,11-May-2021 11:00:00
-93.5,-99.5,-73.5,11-May-2021 11:30:00
-81.5,-92.5,-17.5,11-May-2021 12:00:00
-22.5,-27.5,-8.5,11-May-2021 12:30:00
-14.5,-17.5,-6.5,11-May-2021 13:00:00
-12.5,-14.5,-6.5,11-May-2021 13:30:00
-12.5,-13.5,-6.5,11-May-2021 14:00:00
-12.5,-14.5,-6.5,11-May-2021 14:30:00
-14.5,-15.5,-8.5,11-May-2021 15:00:00
-15.5,-17.5,-10.5,11-May-2021 15:30:00
-18.5,-20.5,-14.5,11-May-2021 16:00:00
-20.5,-23.5,-19.5,11-May-2021 16:30:00
-22.5,-26.5,-25.5,11-May-2021 17:00:00
-25.5,-29.5,-31.5,11-May-2021 17:30:00
-28.5,-32.5,-35.5,11-May-2021 18:00:00
-33.5,-40.5,-36.5,11-May-2021 18:30:00
-45.5,-76.5,-39.5,11-May-2021 19:00:00
-72.5,-94.5,-46.5,11-May-2021 19:30:00
-92.5,-99.5,-54.5,11-May-2021 20:00:00
-93.5,-101.5,-64.5,11-May-2021 20:30:00
-93.5,-102.5,-76.5,11-May-2021 21:00:00
-94.5,-103.5,-86.5,11-May-2021 21:30:00
-94.5,-104.5,-91.5,11-May-2021 22:00:00
-95.5,-105.5,-92.5,11-May-2021 22:30:00
-95.5,-105.5,-93.5,11-May-2021 23:00:00
-95.5,-105.5,-94.5,11-May-2021 23:30:00
-95.5,-105.5,-94.5,12-May-2021 00:00:00
-95.5,-105.5,-95.5,12-May-2021 00:30:00
-95.5,-105.5,-96.5,12-May-2021 01:00:00
-95.5,-106.5,-96.5,12-May-2021 01:30:00
-96.5,-106.5,-97.5,12-May-2021 02:00:00
-96.5,-106.5,-98.5,12-May-2021 02:30:00
-96.5,-106.5,-99.5,12-May-2021 03:00:00
-97.5,-107.5,-100.5,12-May-2021 03:30:00
-97.5,-107.5,-101.5,12-May-2021 04:00:00
-97.5,-107.5,-101.5,12-May-2021 04:30:00
-97.5,-107.5,-102.5,12-May-2021 05:00:00
-98.5,-108.5,-103.5,12-May-2021 05:30:00
-98.5,-108.5,-103.5,12-May-2021 06:00:00
-99.5,-108.5,-103.5,12-May-2021 06:30:00
-99.5,-108.5,-104.5,12-May-2021 07:00:00
-99.5,-108.5,-104.5,12-May-2021 07:30:00
-99.5,-108.5,-104.5,12-May-2021 08:00:00
-99.5,-107.5,-104.5,12-May-2021 08:30:00
-99.5,-106.5,-103.5,12-May-2021 09:00:00
-98.5,-105.5,-102.5,12-May-2021 09:30:00
-97.5,-104.5,-101.5,12-May-2021 10:00:00
-97.5,-103.5,-100.5,12-May-2021 10:30:00
-95.5,-101.5,-98.5,12-May-2021 11:00:00
-94.5,-99.5,-95.5,12-May-2021 11:30:00
-92.5,-96.5,-89.5,12-May-2021 12:00:00
-88.5,-92.5,-79.5,12-May-2021 12:30:00
-82.5,-84.5,-65.5,12-May-2021 13:00:00
-73.5,-74.5,-54.5,12-May-2021 13:30:00
-65.5,-61.5,-49.5,12-May-2021 14:00:00
-58.5,-55.5,-48.5,12-May-2021 14:30:00
-54.5,-55.5,-51.5,12-May-2021 15:00:00
-54.5,-55.5,-54.5,12-May-2021 15:30:00
-57.5,-57.5,-59.5,12-May-2021 16:00:00
-61.5,-61.5,-65.5,12-May-2021 16:30:00
-67.5,-69.5,-70.5,12-May-2021 17:00:00
-75.5,-80.5,-77.5,12-May-2021 17:30:00
-83.5,-88.5,-86.5,12-May-2021 18:00:00
-88.5,-94.5,-91.5,12-May-2021 18:30:00
-92.5,-98.5,-93.5,12-May-2021 19:00:00
-94.5,-100.5,-94.5,12-May-2021 19:30:00
-95.5,-102.5,-95.5,12-May-2021 20:00:00
-96.5,-103.5,-96.5,12-May-2021 20:30:00
-96.5,-105.5,-96.5,12-May-2021 21:00:00
-97.5,-105.5,-96.5,12-May-2021 21:30:00
-97.5,-106.5,-97.5,12-May-2021 22:00:00
-98.5,-107.5,-97.5,12-May-2021 22:30:00
-98.5,-107.5,-97.5,12-May-2021 23:00:00
-98.5,-107.5,-97.5,12-May-2021 23:30:00
-98.5,-108.5,-97.5,13-May-2021 00:00:00
-98.5,-108.5,-97.5,13-May-2021 00:30:00
-98.5,-108.5,-97.5,13-May-2021 01:00:00
-99.5,-108.5,-98.5,13-May-2021 01:30:00
-99.5,-109.5,-98.5,13-May-2021 02:00:00
-99.5,-109.5,-98.5,13-May-2021 02:30:00
-99.5,-110.5,-98.5,13-May-2021 03:00:00
-99.5,-110.5,-98.5,13-May-2021 03:30:00
-99.5,-110.5,-98.5,13-May-2021 04:00:00
-99.5,-110.5,-99.5,13-May-2021 04:30:00
-100.5,-111.5,-99.5,13-May-2021 05:00:00
-100.5,-111.5,-99.5,13-May-2021 05:30:00
-99.5,-110.5,-99.5,13-May-2021 06:00:00
-99.5,-110.5,-99.5,13-May-2021 06:30:00
-99.5,-109.5,-99.5,13-May-2021 07:00:00
-98.5,-108.5,-98.5,13-May-2021 07:30:00
-97.5,-106.5,-97.5,13-May-2021 08:00:00
-96.5,-104.5,-94.5,13-May-2021 08:30:00
-93.5,-100.5,-87.5,13-May-2021 09:00:00
-78.5,-90.5,-6.5,13-May-2021 09:30:00
-5.5,-17.5,-2.5,13-May-2021 10:00:00
-2.5,-5.5,-1.5,13-May-2021 10:30:00
-1.5,-3.5,-1.5,13-May-2021 11:00:00
-1.5,-2.5,-1.5,13-May-2021 11:30:00
-1.5,-2.5,-1.5,13-May-2021 12:00:00
-1.5,-2.5,-1.5,13-May-2021 12:30:00
-1.5,-2.5,-1.5,13-May-2021 13:00:00
-1.5,-2.5,-1.5,13-May-2021 13:30:00
-1.5,-2.5,-1.5,13-May-2021 14:00:00
-1.5,-2.5,-1.5,13-May-2021 14:30:00
-1.5,-2.5,-1.5,13-May-2021 15:00:00
-1.5,-2.5,-1.5,13-May-2021 15:30:00
-1.5,-2.5,-1.5,13-May-2021 16:00:00
-1.5,-2.5,-1.5,13-May-2021 16:30:00
-1.5,-2.5,-1.5,13-May-2021 17:00:00
-1.5,-2.5,-1.5,13-May-2021 17:30:00
-1.5,-3.5,-1.5,13-May-2021 18:00:00
-1.5,-3.5,-2.5,13-May-2021 18:30:00
-1.5,-3.5,-2.5,13-May-2021 19:00:00
-2.5,-3.5,-2.5,13-May-2021 19:30:00
-2.5,-3.5,-2.5,13-May-2021 20:00:00
-2.5,-3.5,-3.5,13-May-2021 20:30:00
-2.5,-3.5,-3.5,13-May-2021 21:00:00
-2.5,-3.5,-3.5,13-May-2021 21:30:00
-2.5,-4.5,-3.5,13-May-2021 22:00:00
-2.5,-4.5,-3.5,13-May-2021 22:30:00
-2.5,-4.5,-3.5,13-May-2021 23:00:00
-2.5,-4.5,-3.5,13-May-2021 23:30:00
-3.5,-4.5,-3.5,14-May-2021 00:00:00
-3.5,-5.5,-4.5,14-May-2021 00:30:00
-4.5,-5.5,-5.5,14-May-2021 01:00:00
-5.5,-6.5,-5.5,14-May-2021 01:30:00
-6.5,-7.5,-6.5,14-May-2021 02:00:00
-7.5,-8.5,-7.5,14-May-2021 02:30:00
-9.5,-10.5,-9.5,14-May-2021 03:00:00
-10.5,-11.5,-11.5,14-May-2021 03:30:00
-13.5,-14.5,-15.5,14-May-2021 04:00:00
-16.5,-18.5,-21.5,14-May-2021 04:30:00
-19.5,-22.5,-28.5,14-May-2021 05:00:00
-24.5,-27.5,-37.5,14-May-2021 05:30:00
-28.5,-33.5,-45.5,14-May-2021 06:00:00
-32.5,-37.5,-51.5,14-May-2021 06:30:00
-34.5,-39.5,-51.5,14-May-2021 07:00:00
-36.5,-40.5,-51.5,14-May-2021 07:30:00
-38.5,-41.5,-49.5,14-May-2021 08:00:00
-38.5,-40.5,-44.5,14-May-2021 08:30:00
-37.5,-34.5,-30.5,14-May-2021 09:00:00
-33.5,-27.5,-17.5,14-May-2021 09:30:00
-28.5,-21.5,-11.5,14-May-2021 10:00:00
-19.5,-14.5,-8.5,14-May-2021 10:30:00
-13.5,-11.5,-6.5,14-May-2021 11:00:00
-11.5,-9.5,-6.5,14-May-2021 11:30:00
-11.5,-8.5,-5.5,14-May-2021 12:00:00
-10.5,-8.5,-5.5,14-May-2021 12:30:00
-11.5,-8.5,-5.5,14-May-2021 13:00:00
-11.5,-9.5,-5.5,14-May-2021 13:30:00
-12.5,-10.5,-6.5,14-May-2021 14:00:00
-14.5,-12.5,-8.5,14-May-2021 14:30:00
-16.5,-16.5,-10.5,14-May-2021 15:00:00
-19.5,-19.5,-13.5,14-May-2021 15:30:00
-23.5,-24.5,-19.5,14-May-2021 16:00:00
-27.5,-28.5,-28.5,14-May-2021 16:30:00
-30.5,-33.5,-38.5,14-May-2021 17:00:00
-34.5,-37.5,-48.5,14-May-2021 17:30:00
-37.5,-41.5,-54.5,14-May-2021 18:00:00
-40.5,-44.5,-57.5,14-May-2021 18:30:00
-43.5,-47.5,-59.5,14-May-2021 19:00:00
-46.5,-50.5,-61.5,14-May-2021 19:30:00
-49.5,-52.5,-62.5,14-May-2021 20:00:00
-51.5,-54.5,-63.5,14-May-2021 20:30:00
-53.5,-57.5,-64.5,14-May-2021 21:00:00
-55.5,-58.5,-65.5,14-May-2021 21:30:00
-57.5,-60.5,-66.5,14-May-2021 22:00:00
-58.5,-62.5,-67.5,14-May-2021 22:30:00
-59.5,-63.5,-68.5,14-May-2021 23:00:00
-61.5,-64.5,-69.5,14-May-2021 23:30:00
-62.5,-65.5,-69.5,15-May-2021 00:00:00
-63.5,-66.5,-70.5,15-May-2021 00:30:00
-64.5,-67.5,-72.5,15-May-2021 01:00:00
-65.5,-68.5,-77.5,15-May-2021 01:30:00
-66.5,-69.5,-80.5,15-May-2021 02:00:00
-67.5,-71.5,-83.5,15-May-2021 02:30:00
-69.5,-72.5,-84.5,15-May-2021 03:00:00
-70.5,-74.5,-86.5,15-May-2021 03:30:00
-72.5,-77.5,-87.5,15-May-2021 04:00:00
-75.5,-81.5,-88.5,15-May-2021 04:30:00
-78.5,-84.5,-89.5,15-May-2021 05:00:00
-81.5,-86.5,-91.5,15-May-2021 05:30:00
-83.5,-88.5,-91.5,15-May-2021 06:00:00
-84.5,-90.5,-92.5,15-May-2021 06:30:00
-85.5,-91.5,-93.5,15-May-2021 07:00:00
-85.5,-91.5,-93.5,15-May-2021 07:30:00
-84.5,-91.5,-93.5,15-May-2021 08:00:00
-82.5,-90.5,-92.5,15-May-2021 08:30:00
-79.5,-89.5,-91.5,15-May-2021 09:00:00
-75.5,-87.5,-90.5,15-May-2021 09:30:00
-71.5,-84.5,-88.5,15-May-2021 10:00:00
-67.5,-81.5,-86.5,15-May-2021 10:30:00
-64.5,-78.5,-83.5,15-May-2021 11:00:00
-61.5,-74.5,-80.5,15-May-2021 11:30:00
-58.5,-70.5,-77.5,15-May-2021 12:00:00
-56.5,-67.5,-73.5,15-May-2021 12:30:00
-55.5,-65.5,-71.5,15-May-2021 13:00:00
-55.5,-63.5,-69.5,15-May-2021 13:30:00
-55.5,-62.5,-68.5,15-May-2021 14:00:00
-56.5,-63.5,-69.5,15-May-2021 14:30:00
-58.5,-66.5,-72.5,15-May-2021 15:00:00
-60.5,-69.5,-76.5,15-May-2021 15:30:00
-62.5,-72.5,-80.5,15-May-2021 16:00:00
-65.5,-77.5,-84.5,15-May-2021 16:30:00
-69.5,-81.5,-87.5,15-May-2021 17:00:00
-72.5,-84.5,-89.5,15-May-2021 17:30:00
-76.5,-87.5,-91.5,15-May-2021 18:00:00
-79.5,-90.5,-93.5,15-May-2021 18:30:00
-82.5,-92.5,-94.5,15-May-2021 19:00:00
-85.5,-94.5,-95.5,15-May-2021 19:30:00
-88.5,-95.5,-96.5,15-May-2021 20:00:00
-89.5,-97.5,-96.5,15-May-2021 20:30:00
-91.5,-99.5,-97.5,15-May-2021 21:00:00
-92.5,-100.5,-97.5,15-May-2021 21:30:00
-93.5,-102.5,-98.5,15-May-2021 22:00:00
-94.5,-104.5,-99.5,15-May-2021 22:30:00
-94.5,-104.5,-100.5,15-May-2021 23:00:00
-95.5,-105.5,-101.5,15-May-2021 23:30:00
-96.5,-105.5,-102.5,16-May-2021 00:00:00
-96.5,-106.5,-104.5,16-May-2021 00:30:00
-97.5,-106.5,-105.5,16-May-2021 01:00:00
-97.5,-106.5,-107.5,16-May-2021 01:30:00
-98.5,-107.5,-108.5,16-May-2021 02:00:00
-99.5,-107.5,-109.5,16-May-2021 02:30:00
-99.5,-107.5,-110.5,16-May-2021 03:00:00
-100.5,-107.5,-111.5,16-May-2021 03:30:00
-100.5,-108.5,-112.5,16-May-2021 04:00:00
-100.5,-108.5,-112.5,16-May-2021 04:30:00
-100.5,-108.5,-112.5,16-May-2021 05:00:00
-100.5,-108.5,-112.5,16-May-2021 05:30:00
-100.5,-108.5,-112.5,16-May-2021 06:00:00
-100.5,-108.5,-111.5,16-May-2021 06:30:00
-100.5,-107.5,-111.5,16-May-2021 07:00:00
-99.5,-106.5,-111.5,16-May-2021 07:30:00
-99.5,-106.5,-110.5,16-May-2021 08:00:00
-98.5,-105.5,-110.5,16-May-2021 08:30:00
-97.5,-103.5,-109.5,16-May-2021 09:00:00
-97.5,-103.5,-108.5,16-May-2021 09:30:00
-96.5,-101.5,-107.5,16-May-2021 10:00:00
-95.5,-99.5,-106.5,16-May-2021 10:30:00
-94.5,-97.5,-103.5,16-May-2021 11:00:00
-92.5,-92.5,-99.5,16-May-2021 11:30:00
-86.5,-83.5,-81.5,16-May-2021 12:00:00
-70.5,-64.5,-50.5,16-May-2021 12:30:00
-54.5,-45.5,-33.5,16-May-2021 13:00:00
-42.5,-36.5,-25.5,16-May-2021 13:30:00
-38.5,-32.5,-22.5,16-May-2021 14:00:00
-36.5,-32.5,-21.5,16-May-2021 14:30:00
-37.5,-33.5,-23.5,16-May-2021 15:00:00
-39.5,-37.5,-27.5,16-May-2021 15:30:00
-43.5,-42.5,-34.5,16-May-2021 16:00:00
-48.5,-49.5,-45.5,16-May-2021 16:30:00
-53.5,-55.5,-59.5,16-May-2021 17:00:00
-59.5,-62.5,-72.5,16-May-2021 17:30:00
-65.5,-68.5,-82.5,16-May-2021 18:00:00
-72.5,-74.5,-87.5,16-May-2021 18:30:00
-81.5,-82.5,-94.5,16-May-2021 19:00:00
-89.5,-91.5,-100.5,16-May-2021 19:30:00
-93.5,-95.5,-100.5,16-May-2021 20:00:00
-94.5,-98.5,-100.5,16-May-2021 20:30:00
-95.5,-100.5,-101.5,16-May-2021 21:00:00
-95.5,-101.5,-101.5,16-May-2021 21:30:00
-96.5,-103.5,-102.5,16-May-2021 22:00:00
-96.5,-103.5,-102.5,16-May-2021 22:30:00
-96.5,-104.5,-102.5,16-May-2021 23:00:00
-97.5,-104.5,-103.5,16-May-2021 23:30:00
-97.5,-105.5,-103.5,17-May-2021 00:00:00
-98.5,-105.5,-103.5,17-May-2021 00:30:00
-98.5,-106.5,-103.5,17-May-2021 01:00:00
-98.5,-106.5,-104.5,17-May-2021 01:30:00
-99.5,-107.5,-104.5,17-May-2021 02:00:00
-99.5,-107.5,-104.5,17-May-2021 02:30:00
-99.5,-107.5,-105.5,17-May-2021 03:00:00
-100.5,-108.5,-105.5,17-May-2021 03:30:00
-100.5,-108.5,-105.5,17-May-2021 04:00:00
-100.5,-109.5,-105.5,17-May-2021 04:30:00
-100.5,-109.5,-106.5,17-May-2021 05:00:00
-100.5,-109.5,-106.5,17-May-2021 05:30:00
-100.5,-109.5,-106.5,17-May-2021 06:00:00
-100.5,-109.5,-106.5,17-May-2021 06:30:00
-99.5,-108.5,-105.5,17-May-2021 07:00:00
-98.5,-107.5,-105.5,17-May-2021 07:30:00
-97.5,-105.5,-104.5,17-May-2021 08:00:00
-96.5,-103.5,-102.5,17-May-2021 08:30:00
-95.5,-100.5,-100.5,17-May-2021 09:00:00
-94.5,-96.5,-96.5,17-May-2021 09:30:00
-92.5,-94.5,-85.5,17-May-2021 10:00:00
-90.5,-92.5,-72.5,17-May-2021 10:30:00
-89.5,-91.5,-68.5,17-May-2021 11:00:00
-89.5,-91.5,-71.5,17-May-2021 11:30:00
-89.5,-90.5,-73.5,17-May-2021 12:00:00
-89.5,-90.5,-76.5,17-May-2021 12:30:00
-88.5,-89.5,-72.5,17-May-2021 13:00:00
-82.5,-86.5,-54.5,17-May-2021 13:30:00
-41.5,-75.5,-39.5,17-May-2021 14:00:00
-28.5,-36.5,-27.5,17-May-2021 14:30:00
-23.5,-25.5,-13.5,17-May-2021 15:00:00
-17.5,-18.5,-8.5,17-May-2021 15:30:00
-14.5,-14.5,-7.5,17-May-2021 16:00:00
-14.5,-14.5,-7.5,17-May-2021 16:30:00
-15.5,-15.5,-8.5,17-May-2021 17:00:00
-17.5,-17.5,-10.5,17-May-2021 17:30:00
-20.5,-21.5,-14.5,17-May-2021 18:00:00
-23.5,-25.5,-22.5,17-May-2021 18:30:00
-27.5,-30.5,-31.5,17-May-2021 19:00:00
-31.5,-35.5,-37.5,17-May-2021 19:30:00
-35.5,-40.5,-40.5,17-May-2021 20:00:00
-41.5,-71.5,-42.5,17-May-2021 20:30:00
-56.5,-86.5,-44.5,17-May-2021 21:00:00
-77.5,-90.5,-47.5,17-May-2021 21:30:00
-87.5,-93.5,-51.5,17-May-2021 22:00:00
-89.5,-94.5,-56.5,17-May-2021 22:30:00
-90.5,-94.5,-57.5,17-May-2021 23:00:00
-89.5,-93.5,-56.5,17-May-2021 23:30:00
-84.5,-90.5,-52.5,18-May-2021 00:00:00
-81.5,-89.5,-53.5,18-May-2021 00:30:00
-85.5,-90.5,-57.5,18-May-2021 01:00:00
-84.5,-89.5,-57.5,18-May-2021 01:30:00
-75.5,-86.5,-53.5,18-May-2021 02:00:00
-58.5,-80.5,-48.5,18-May-2021 02:30:00
-45.5,-60.5,-43.5,18-May-2021 03:00:00
-46.5,-60.5,-43.5,18-May-2021 03:30:00
-54.5,-76.5,-49.5,18-May-2021 04:00:00
-75.5,-84.5,-58.5,18-May-2021 04:30:00
-87.5,-89.5,-67.5,18-May-2021 05:00:00
-90.5,-92.5,-75.5,18-May-2021 05:30:00
-91.5,-94.5,-81.5,18-May-2021 06:00:00
-92.5,-94.5,-84.5,18-May-2021 06:30:00
-91.5,-93.5,-84.5,18-May-2021 07:00:00
-90.5,-92.5,-84.5,18-May-2021 07:30:00
-87.5,-89.5,-78.5,18-May-2021 08:00:00
-77.5,-84.5,-64.5,18-May-2021 08:30:00
-53.5,-71.5,-57.5,18-May-2021 09:00:00
-49.5,-52.5,-52.5,18-May-2021 09:30:00
-42.5,-48.5,-41.5,18-May-2021 10:00:00
-35.5,-37.5,-18.5,18-May-2021 10:30:00
-20.5,-19.5,-7.5,18-May-2021 11:00:00
-10.5,-11.5,-4.5,18-May-2021 11:30:00
-7.5,-8.5,-3.5,18-May-2021 12:00:00
-5.5,-6.5,-2.5,18-May-2021 12:30:00
-4.5,-5.5,-2.5,18-May-2021 13:00:00
-3.5,-5.5,-2.5,18-May-2021 13:30:00
-3.5,-4.5,-2.5,18-May-2021 14:00:00
-3.5,-4.5,-2.5,18-May-2021 14:30:00
-3.5,-5.5,-2.5,18-May-2021 15:00:00
-3.5,-5.5,-2.5,18-May-2021 15:30:00
-4.5,-6.5,-3.5,18-May-2021 16:00:00
-5.5,-7.5,-4.5,18-May-2021 16:30:00
-7.5,-9.5,-7.5,18-May-2021 17:00:00
-8.5,-10.5,-10.5,18-May-2021 17:30:00
-10.5,-12.5,-12.5,18-May-2021 18:00:00
-11.5,-13.5,-14.5,18-May-2021 18:30:00
-12.5,-15.5,-15.5,18-May-2021 19:00:00
-14.5,-16.5,-16.5,18-May-2021 19:30:00
-15.5,-17.5,-17.5,18-May-2021 20:00:00
-16.5,-18.5,-18.5,18-May-2021 20:30:00
-18.5,-19.5,-19.5,18-May-2021 21:00:00
-19.5,-21.5,-21.5,18-May-2021 21:30:00
-21.5,-22.5,-23.5,18-May-2021 22:00:00
-22.5,-23.5,-27.5,18-May-2021 22:30:00
-24.5,-24.5,-32.5,18-May-2021 23:00:00
-27.5,-26.5,-37.5,18-May-2021 23:30:00
-29.5,-29.5,-41.5,19-May-2021 00:00:00
-32.5,-32.5,-45.5,19-May-2021 00:30:00
-34.5,-36.5,-48.5,19-May-2021 01:00:00
-36.5,-39.5,-51.5,19-May-2021 01:30:00
-38.5,-43.5,-52.5,19-May-2021 02:00:00
-40.5,-46.5,-54.5,19-May-2021 02:30:00
-42.5,-48.5,-55.5,19-May-2021 03:00:00
-43.5,-50.5,-55.5,19-May-2021 03:30:00
-45.5,-52.5,-56.5,19-May-2021 04:00:00
-46.5,-53.5,-56.5,19-May-2021 04:30:00
-47.5,-53.5,-56.5,19-May-2021 05:00:00
-48.5,-54.5,-57.5,19-May-2021 05:30:00
-49.5,-54.5,-57.5,19-May-2021 06:00:00
-50.5,-55.5,-57.5,19-May-2021 06:30:00
-50.5,-55.5,-58.5,19-May-2021 07:00:00
-50.5,-55.5,-58.5,19-May-2021 07:30:00
-51.5,-55.5,-58.5,19-May-2021 08:00:00
-50.5,-54.5,-58.5,19-May-2021 08:30:00
-50.5,-54.5,-58.5,19-May-2021 09:00:00
-48.5,-53.5,-57.5,19-May-2021 09:30:00
-46.5,-51.5,-56.5,19-May-2021 10:00:00
-43.5,-49.5,-54.5,19-May-2021 10:30:00
-39.5,-46.5,-50.5,19-May-2021 11:00:00
-34.5,-43.5,-46.5,19-May-2021 11:30:00
-32.5,-42.5,-43.5,19-May-2021 12:00:00
-31.5,-41.5,-44.5,19-May-2021 12:30:00
-32.5,-43.5,-48.5,19-May-2021 13:00:00
-35.5,-46.5,-52.5,19-May-2021 13:30:00
-38.5,-48.5,-55.5,19-May-2021 14:00:00
-41.5,-51.5,-58.5,19-May-2021 14:30:00
-43.5,-53.5,-59.5,19-May-2021 15:00:00
-44.5,-54.5,-60.5,19-May-2021 15:30:00
-47.5,-55.5,-61.5,19-May-2021 16:00:00
-48.5,-56.5,-61.5,19-May-2021 16:30:00
-49.5,-56.5,-61.5,19-May-2021 17:00:00
-49.5,-56.5,-62.5,19-May-2021 17:30:00
-51.5,-57.5,-63.5,19-May-2021 18:00:00
-53.5,-61.5,-66.5,19-May-2021 18:30:00
-56.5,-66.5,-72.5,19-May-2021 19:00:00
-58.5,-68.5,-76.5,19-May-2021 19:30:00
-59.5,-69.5,-79.5,19-May-2021 20:00:00
-61.5,-71.5,-81.5,19-May-2021 20:30:00
-63.5,-73.5,-84.5,19-May-2021 21:00:00
-65.5,-75.5,-88.5,19-May-2021 21:30:00
-68.5,-79.5,-91.5,19-May-2021 22:00:00
-71.5,-81.5,-94.5,19-May-2021 22:30:00
-74.5,-84.5,-97.5,19-May-2021 23:00:00
-78.5,-87.5,-99.5,19-May-2021 23:30:00
-82.5,-89.5,-101.5,20-May-2021 00:00:00
-85.5,-92.5,-102.5,20-May-2021 00:30:00
-87.5,-94.5,-104.5,20-May-2021 01:00:00
-89.5,-96.5,-105.5,20-May-2021 01:30:00
-91.5,-98.5,-107.5,20-May-2021 02:00:00
-92.5,-100.5,-108.5,20-May-2021 02:30:00
-93.5,-102.5,-110.5,20-May-2021 03:00:00
-95.5,-104.5,-111.5,20-May-2021 03:30:00
-96.5,-105.5,-112.5,20-May-2021 04:00:00
-97.5,-107.5,-113.5,20-May-2021 04:30:00
-98.5,-109.5,-115.5,20-May-2021 05:00:00
-100.5,-110.5,-116.5,20-May-2021 05:30:00
-101.5,-112.5,-117.5,20-May-2021 06:00:00
-102.5,-113.5,-118.5,20-May-2021 06:30:00
-103.5,-114.5,-118.5,20-May-2021 07:00:00
-104.5,-114.5,-119.5,20-May-2021 07:30:00
-104.5,-114.5,-119.5,20-May-2021 08:00:00
-104.5,-114.5,-119.5,20-May-2021 08:30:00
-103.5,-114.5,-119.5,20-May-2021 09:00:00
-103.5,-113.5,-119.5,20-May-2021 09:30:00
-102.5,-112.5,-118.5,20-May-2021 10:00:00
-100.5,-110.5,-117.5,20-May-2021 10:30:00
-98.5,-109.5,-115.5,20-May-2021 11:00:00
-97.5,-106.5,-113.5,20-May-2021 11:30:00
-95.5,-103.5,-110.5,20-May-2021 12:00:00
-92.5,-100.5,-106.5,20-May-2021 12:30:00
-90.5,-97.5,-102.5,20-May-2021 13:00:00
-88.5,-94.5,-99.5,20-May-2021 13:30:00
-87.5,-93.5,-96.5,20-May-2021 14:00:00
