mtime,sst,cond,chl,lat,lon,latec,lonec,dx,dy,sss,sstorig,sssorig,tcorr,scorr,datetime
738282.925,12.9088666666667,41.6749921115516,1.44831666666667,48.9523894545998,-14.8406534755132,48.9867564400637,-14.8945052420493,3.9998222314919,-3.82143442765507,35.522063397734,13.2088666666667,35.4808294427722,-0.3,0.041233954961837,06-May-2021 22:12:00
738282.929166667,12.95245,41.7198017130224,1.429,48.9526621589171,-14.8454599063371,48.9867883841094,-14.8948868988093,3.67117359452845,-3.794663106913,35.523956468317,13.25245,35.4827167312639,-0.3,0.0412397370530447,06-May-2021 22:18:00
738282.933333333,12.9635,41.7300487834102,1.41936666666667,48.9530071455219,-14.8501721390386,48.9868203281551,-14.8952685555693,3.34952149209898,-3.75985436251572,35.5233789769313,13.2635,35.4821334577871,-0.3,0.0412455191442524,06-May-2021 22:24:00
738282.9375,12.9783666666667,41.7471863239518,1.42246666666667,48.9533065217123,-14.8545874605622,48.9868522722008,-14.8956502123293,3.04992236966051,-3.73011726481095,35.5257845000052,13.2783666666667,35.4845331987697,-0.3,0.04125130123546,06-May-2021 22:30:00
738282.941666667,12.9696666666667,41.7393002894469,1.43103333333333,48.9536984911962,-14.8584258951912,48.9868842162465,-14.8960318690893,2.79317133140775,-3.69008426262036,35.5264236139475,13.2696666666667,35.4851665306208,-0.3,0.0412570833266677,06-May-2021 22:36:00
738282.945833333,12.9468333333333,41.724074963394,1.4679,48.9540768043926,-14.8620897723682,48.9869161602922,-14.8964135258493,2.54938549044599,-3.65156977030787,35.5332952306794,13.2468333333333,35.4920323652615,-0.3,0.0412628654178754,06-May-2021 22:42:00
738282.95,12.8556833333333,41.64024528406,1.42351666666667,48.9545011729284,-14.8660563154896,48.9869481043379,-14.8967951826093,2.28311923609076,-3.6079341579183,35.5387725303435,13.1556833333333,35.4975038828344,-0.3,0.0412686475090831,06-May-2021 22:48:00
738282.954166667,12.8007833333333,41.5754884150955,1.40231666666667,48.9549638509057,-14.8702244026018,48.9869800483845,-14.89717683938,2.00188336896835,-3.56003873008853,35.5284410113084,13.1007833333333,35.4871665817079,-0.3,0.0412744296004523,06-May-2021 22:54:00
738282.958333333,12.7980833333333,41.5689605515317,1.39615,48.9553481115824,-14.874747754992,48.9870119924302,-14.89755849614,1.69426028947576,-3.52086290815416,35.5247463297366,13.0980833333333,35.4834661180449,-0.3,0.04128021169166,06-May-2021 23:00:00
738282.9625,12.81665,41.5918705422919,1.40795,48.9556942283427,-14.8792708372928,48.9870439364759,-14.8979401529,1.38665727078812,-3.48592849619542,35.5292188224518,13.11665,35.487932828669,-0.3,0.0412859937828676,06-May-2021 23:06:00
738282.966666667,12.7881833333333,41.5689666170023,1.4139,48.9561018962477,-14.8840429846139,48.9870758805216,-14.89832180966,1.06055502971069,-3.44414990923147,35.5340418759665,13.0881833333333,35.4927501000924,-0.3,0.0412917758740753,06-May-2021 23:12:00
738282.970833333,12.7908833333333,41.5652452953188,1.40448333333333,48.9565743390537,-14.8884373922881,48.9871078245673,-14.89870346642,0.762509276554399,-3.39516868189072,35.5279643469176,13.0908833333333,35.4866667889523,-0.3,0.041297557965283,06-May-2021 23:18:00
738282.975,12.8094666666667,41.5828618613899,1.38218333333333,48.9571084530885,-14.8929070981403,48.987139768613,-14.89908512318,0.4588707760179,-3.3393299267844,35.5273704444226,13.1094666666667,35.4860671043661,-0.3,0.0413033400564907,06-May-2021 23:24:00
738282.979166667,12.8120666666667,41.5906892284761,1.39528333333333,48.9575487184134,-14.8973267245527,48.9871717126587,-14.89946677994,0.158951909381301,-3.29392667210159,35.5324090496138,13.1120666666667,35.4910999274661,-0.3,0.0413091221476983,06-May-2021 23:30:00
738282.983333333,12.8205666666667,41.5978133597216,1.3949,48.9580165449696,-14.9020954719118,48.9872036567044,-14.8998484367,-0.166897800636995,-3.24545874831283,35.531248064982,13.1205666666667,35.4899331607431,-0.3,0.041314904238906,06-May-2021 23:36:00
738282.9875,12.8311833333333,41.6068243057566,1.39595,48.9585134958012,-14.9067676368368,48.987235600751,-14.9002300934706,-0.485573881366559,-3.19375235296955,35.5299040238822,13.1311833333333,35.488583337552,-0.3,0.0413206863302752,06-May-2021 23:42:00
738282.991666667,12.8388166666667,41.6178512407902,1.38206666666667,48.9589974359824,-14.9111139868759,48.9872675447967,-14.9006117502306,-0.780050169498339,-3.14349267584262,35.5332762624129,13.1388166666667,35.4919497939914,-0.3,0.0413264684214829,06-May-2021 23:48:00
738282.995833333,12.8157666666667,41.5977115947396,1.38006666666667,48.9595092825,-14.915556290339,48.9872994888424,-14.9009934069906,-1.08165336660443,-3.0901299556782,35.5356656174249,13.1157666666667,35.4943333669122,-0.3,0.0413322505126906,06-May-2021 23:54:00
738283,12.8039,41.5820411429602,1.37706666666667,48.9600289149529,-14.920174987387,48.9873314328881,-14.9013750637506,-1.39635813916538,-3.03590147901209,35.5318378965188,13.1039,35.4904998639149,-0.3,0.0413380326038982,07-May-2021 00:00:00
738283.004166667,12.8036166666667,41.5796673504177,1.40748333333333,48.9605251183945,-14.924855197161,48.9875796942186,-14.9013058411905,-1.74912066227072,-3.00833157416076,35.5298437330259,13.1036166666667,35.4884999183308,-0.3,0.0413438146951059,07-May-2021 00:06:00
